,Level,total_time,total_words,raito,uniq,a1,a2,b1,b2,c1,c2
78,1,4244.576999999992,11369.0,2.678476559619491,1064.0,2213.0,1517.0,1163.0,1595.0,1026.0,0.0
79,1,5325.65000000002,16563.0,3.110042905560812,1458.0,4252.0,2884.0,1933.0,2564.0,2045.0,0.0
80,1,4793.979000000046,12869.0,2.6844089221083105,1570.0,3052.0,2124.0,1618.0,2046.0,1442.0,0.0
81,2,4375.688999999968,13013.0,2.9739316482501605,1357.0,3039.0,2201.0,1503.0,1848.0,1614.0,0.0
82,2,3919.455999999975,11140.0,2.8422311667741824,1292.0,2572.0,1830.0,1299.0,1593.0,1408.0,0.0
83,2,2091.1370000000015,4775.0,2.2834467564774554,830.0,1103.0,854.0,563.0,695.0,527.0,0.0
84,3,1692.7949999999987,4002.0,2.364137417702677,509.0,1061.0,722.0,385.0,604.0,436.0,0.0
85,3,4723.481000000012,11094.0,2.348691568781577,1472.0,2536.0,1703.0,1138.0,1439.0,1160.0,0.0
86,2,3068.692999999999,8000.0,2.6069730663836372,1143.0,1947.0,1413.0,914.0,1210.0,889.0,0.0
87,2,2469.6820000000007,5098.0,2.0642333709360146,673.0,1203.0,857.0,574.0,791.0,544.0,0.0
88,2,3262.1469999999713,7439.0,2.2803999942369444,860.0,1977.0,1515.0,1027.0,1448.0,1000.0,0.0
89,2,2189.5139999999897,4612.0,2.1064035215120898,793.0,890.0,685.0,459.0,643.0,522.0,0.0
90,2,3562.1340000000087,10347.0,2.904719474337567,1148.0,2733.0,1764.0,1250.0,1646.0,1240.0,0.0
91,2,2601.285999999991,7659.0,2.944312928297783,927.0,1885.0,1335.0,937.0,1229.0,945.0,0.0
92,3,4541.116000000002,11691.0,2.5744772870809722,1421.0,3125.0,2424.0,1803.0,2294.0,1686.0,0.0
93,3,2214.761000000002,5260.0,2.374974094270215,767.0,1253.0,917.0,606.0,727.0,659.0,0.0
94,3,3012.950000000017,9402.0,3.1205297134037893,1250.0,1964.0,1366.0,1001.0,1272.0,891.0,0.0
95,3,2974.583999999992,6106.0,2.052724011155851,907.0,1361.0,1043.0,744.0,904.0,730.0,0.0
96,3,3801.42600000004,10417.0,2.740287460547671,1245.0,2648.0,1793.0,1240.0,1686.0,1182.0,0.0
97,3,3475.569000000021,9368.0,2.6953859929122235,1147.0,2163.0,1680.0,1030.0,1379.0,1006.0,0.0
98,3,3785.1239999999893,10343.0,2.7325392774450794,1354.0,2385.0,1640.0,1155.0,1427.0,1150.0,0.0
99,3,5207.228000000017,14975.0,2.8758103159684865,1479.0,3936.0,2747.0,1901.0,2478.0,1832.0,0.0
100,4,1780.7999999999984,3914.0,2.1978885893980253,805.0,796.0,686.0,456.0,599.0,447.0,0.0
101,4,3673.005999999982,10108.0,2.7519693678692736,1337.0,2329.0,1867.0,1153.0,1633.0,1285.0,0.0
103,4,2940.1880000000074,8107.0,2.757306675627538,993.0,2016.0,1398.0,927.0,1214.0,938.0,0.0
104,4,3831.3009999999963,9918.0,2.588676796733018,1385.0,2157.0,1681.0,1196.0,1490.0,1295.0,0.0
105,4,4029.7249999999926,10826.0,2.6865356817152586,1512.0,2496.0,1767.0,1166.0,1600.0,1240.0,0.0
106,4,3894.212000000011,11331.0,2.909702912938476,1621.0,2579.0,1771.0,1332.0,1617.0,1278.0,0.0
107,4,3950.5169999999875,9242.0,2.3394406352383825,1354.0,2125.0,1514.0,932.0,1365.0,1048.0,0.0
108,3,2828.6550000000016,7363.0,2.6030039011473636,905.0,1486.0,1255.0,823.0,1032.0,798.0,0.0
109,3,3928.241999999995,9757.0,2.4838082786142026,1117.0,2376.0,1657.0,1219.0,1430.0,1112.0,0.0
110,3,2494.476999999998,6509.0,2.6093646082926423,813.0,1427.0,1102.0,695.0,973.0,763.0,0.0
111,3,5066.435000000005,8433.0,1.6644840010776791,955.0,2127.0,1543.0,1113.0,1219.0,908.0,0.0
112,1,4440.864000000004,5069.0,1.1414445477276483,864.0,1423.0,1003.0,741.0,789.0,589.0,0.0
114,4,3459.326000000003,5322.0,1.5384499755154604,979.0,1091.0,923.0,640.0,812.0,622.0,0.0
116,1,3475.0179999999896,8158.0,2.347613738979201,669.0,2016.0,1506.0,1006.0,1152.0,846.0,0.0
117,2,2528.2100000000046,6543.0,2.5879970413850066,808.0,1393.0,1041.0,609.0,906.0,661.0,0.0
118,2,2799.375,6804.0,2.4305425318151372,856.0,1795.0,1155.0,678.0,1029.0,749.0,0.0
119,2,2475.8799999999987,6880.0,2.778809958479411,847.0,1632.0,1132.0,728.0,985.0,778.0,0.0
120,3,3617.134000000003,8462.0,2.3394212102731036,964.0,1928.0,1408.0,933.0,1216.0,927.0,0.0
121,3,3895.4210000000016,11262.0,2.8910867400468385,1285.0,2464.0,1691.0,1342.0,1662.0,1210.0,0.0
122,4,2423.6079999999993,4184.0,1.7263517862624653,656.0,1106.0,909.0,596.0,741.0,649.0,0.0
123,4,4226.871999999992,10710.0,2.5337885793560866,1004.0,2641.0,1959.0,1328.0,1830.0,1468.0,0.0
125,2,5067.756000000085,14043.0,2.771048961315376,1409.0,3433.0,2297.0,1490.0,2163.0,1578.0,0.0
126,2,4559.90499999999,11379.0,2.495446725315555,1472.0,2791.0,2013.0,1475.0,1827.0,1432.0,0.0
127,2,2723.4199999999955,6377.0,2.3415411504652277,832.0,1513.0,1182.0,708.0,1019.0,874.0,0.0
128,2,3350.2969999999927,6314.0,1.8846090361541121,932.0,1480.0,1134.0,842.0,1058.0,832.0,0.0
129,2,3255.9339999999884,8590.0,2.638259866446934,1161.0,2183.0,1600.0,1109.0,1414.0,1034.0,0.0
130,2,3917.662999999998,10766.0,2.7480668960040733,1419.0,2498.0,1756.0,1137.0,1502.0,1192.0,0.0
131,2,3629.3910000000074,7666.0,2.1122000908692353,997.0,1976.0,1567.0,1284.0,1506.0,1163.0,0.0
132,2,4472.780000000008,9551.0,2.1353610059068373,959.0,2524.0,1717.0,1061.0,1399.0,1287.0,0.0
134,2,3922.039999999987,10750.0,2.7409205413509388,1205.0,2856.0,2033.0,1369.0,1693.0,1419.0,0.0
135,2,2379.4409999999943,5892.0,2.4762118497579952,771.0,1513.0,1101.0,662.0,917.0,715.0,0.0
136,2,3100.2229999999936,7340.0,2.367571623073571,1067.0,1962.0,1342.0,912.0,1272.0,999.0,0.0
137,2,3567.760999999992,9798.0,2.746260189513822,1225.0,2517.0,1837.0,1213.0,1541.0,1284.0,0.0
138,2,3016.466999999996,8204.0,2.71973802464937,1047.0,1956.0,1431.0,958.0,1173.0,997.0,0.0
139,2,3968.3549999999896,10941.0,2.7570618052064466,1527.0,2528.0,1790.0,1208.0,1534.0,1243.0,0.0
140,2,2956.6130000000094,9051.0,3.061273152759584,1100.0,2305.0,1681.0,1210.0,1500.0,1142.0,0.0
141,2,3265.714999999998,8756.0,2.681189264831746,1244.0,1932.0,1346.0,880.0,1193.0,962.0,0.0
142,2,3684.8950000000054,10018.0,2.718666339203691,1306.0,2478.0,1793.0,1141.0,1559.0,1227.0,0.0
143,2,3781.7199999999852,10329.0,2.731296870207218,1148.0,2487.0,1669.0,1180.0,1443.0,1167.0,0.0
144,2,3966.2569999999882,10979.0,2.7681010080789097,1144.0,2908.0,1764.0,1265.0,1599.0,1309.0,0.0
